Target,n,Spearman_rho,Spearman_p,Pearson_r,Pearson_p
BBF-14,11,-0.9636363636363637,1.852039864070312e-06,-0.9469627054967112,9.879146020801168e-06
BetV1,7,-0.8214285714285715,0.023448808345691505,-0.8495532400623944,0.015523135379641192
CD45,16,-0.8441176470588234,3.930242737399878e-05,-0.9029872682747077,1.6723657343955628e-06
CLDN1,7,-0.9285714285714288,0.0025194724037946874,-0.8631939510827333,0.012334523200887394
DerF21,7,-0.9642857142857145,0.0004541491691941689,-0.8857219949552373,0.0079660159546974
DerF7,10,-0.7333333333333332,0.01580059625057158,-0.7903205019472357,0.006509212101997498
IFNAR2,9,-0.7833333333333333,0.012519873019449882,-0.874449603964354,0.002037806284234289
PD-L1,13,-0.7142857142857143,0.006088305245824148,-0.7199945872746523,0.005515381660010201
PD1,53,-0.7099661344944364,2.634392365590028e-09,-0.7050751742372525,3.775285848160601e-09
Sas6,10,-0.8424242424242423,0.0022200312259168407,-0.8718286395345757,0.0010086280608093848
SpCas9,6,-0.8857142857142858,0.01884548104956266,-0.7771492016140401,0.06896005603780203
