feature,p_value_raw_full,cliffs_delta_full,auc_metric_best_direction_full,p_value_raw_without_outliers,cliffs_delta_without_outliers,auc_metric_best_direction_without_outliers
binding_interface_total_hbond_E_A_B_mean,0.05194805194805195,-0.7333333333333333,0.8666666666666667,0.05714285714285714,-1.0,1.0
binding_interface_hbonds_A_B_mean,0.08225108225108226,0.6666666666666666,0.8333333333333334,0.11428571428571428,0.8333333333333334,0.9166666666666667
rosetta_hbond_lr_bb_mean,0.12554112554112554,0.6,0.8,0.11428571428571428,0.8333333333333334,0.9166666666666667
rosetta_fa_elec_mean,0.24675324675324672,-0.4666666666666667,0.7333333333333334,0.11428571428571428,-0.8333333333333334,0.9166666666666666
rosetta_hbond_sc_mean,0.24675324675324672,-0.4666666666666667,0.7333333333333334,0.11428571428571428,-0.8333333333333334,0.9166666666666666
rosetta_hbond_sr_bb_mean,0.24675324675324672,-0.4666666666666667,0.7333333333333334,0.22857142857142856,-0.6666666666666666,0.8333333333333333
binding_interface_packstat_A_B_mean,0.24675324675324672,-0.4666666666666667,0.7333333333333334,0.6285714285714286,-0.3333333333333333,0.6666666666666666
binding_interface_delta_sasa_A_B_mean,0.24675324675324672,0.4666666666666667,0.7333333333333333,0.22857142857142856,0.6666666666666666,0.8333333333333334
summary_ptm,0.27113234956794896,0.43333333333333335,0.7166666666666667,0.7212766990291557,0.25,0.625
summary_chain_pair_pae_cross_chain_min,0.27222925638857487,-0.43333333333333335,0.7166666666666667,0.7212766990291557,-0.25,0.625
rosetta_rama_prepro_mean,0.32900432900432897,-0.4,0.7000000000000001,0.05714285714285714,-1.0,1.0
summary_chain_pair_pae_cross_chain_mean,0.32900432900432897,-0.4,0.7000000000000001,0.8571428571428571,-0.16666666666666666,0.5833333333333334
rosetta_fa_dun_mean,0.32900432900432897,0.4,0.7,0.22857142857142856,0.6666666666666666,0.8333333333333334
rosetta_fa_sol_mean,0.32900432900432897,0.4,0.7,0.11428571428571428,0.8333333333333334,0.9166666666666667
binding_interface_score_A_B_mean,0.32900432900432897,-0.4,0.7,0.22857142857142856,-0.6666666666666666,0.8333333333333333
binding_interface_dG_A_B_mean,0.32900432900432897,-0.4,0.7,0.22857142857142856,-0.6666666666666666,0.8333333333333333
summary_iptm,0.40917633808896714,0.3333333333333333,0.6666666666666667,1.0,0.0,0.5
rosetta_fa_intra_sol_xover4_mean,0.42857142857142855,0.3333333333333333,0.6666666666666667,0.11428571428571428,0.8333333333333334,0.9166666666666667
binding_interface_delta_hbond_unsat_A_B_mean,0.42857142857142855,-0.3333333333333333,0.6666666666666667,1.0,0.0,0.5
summary_fraction_disordered,0.5079870107415523,-0.26666666666666666,0.6333333333333333,0.07182815632096821,-0.9166666666666666,0.9583333333333334
summary_ranking_score,0.5218690919074656,0.26666666666666666,0.6333333333333333,0.8571428571428571,-0.16666666666666666,0.5833333333333333
ranking_score,0.5367965367965368,0.26666666666666666,0.6333333333333333,0.8571428571428571,-0.16666666666666666,0.5833333333333333
rosetta_total_score_mean,0.5367965367965368,-0.26666666666666666,0.6333333333333333,0.05714285714285714,-1.0,1.0
rosetta_score_mean,0.5367965367965368,-0.26666666666666666,0.6333333333333333,0.05714285714285714,-1.0,1.0
rosetta_yhh_planarity_mean,0.5367965367965368,0.26666666666666666,0.6333333333333333,0.8571428571428571,0.16666666666666666,0.5833333333333333
rosetta_fa_atr_mean,0.6623376623376623,-0.2,0.6000000000000001,0.11428571428571428,-0.8333333333333334,0.9166666666666666
rosetta_lk_ball_wtd_mean,0.6623376623376623,-0.2,0.6000000000000001,0.11428571428571428,-0.8333333333333334,0.9166666666666666
rosetta_fa_intra_rep_mean,0.6623376623376623,0.2,0.6,0.11428571428571428,0.8333333333333334,0.9166666666666667
rosetta_pro_close_mean,0.6623376623376623,-0.2,0.6,0.4,-0.5,0.75
rosetta_time_mean,0.6623376623376623,0.2,0.6,0.11428571428571428,0.8333333333333334,0.9166666666666667
binding_interface_sc_A_B_mean,0.6623376623376623,0.2,0.6,0.8571428571428571,0.16666666666666666,0.5833333333333334
rosetta_fa_rep_mean,0.9307359307359306,0.06666666666666667,0.5333333333333333,0.11428571428571428,0.8333333333333334,0.9166666666666667
rosetta_omega_mean,0.9307359307359306,0.06666666666666667,0.5333333333333333,0.4,0.5,0.75
rosetta_p_aa_pp_mean,0.9307359307359306,0.06666666666666667,0.5333333333333333,0.22857142857142856,-0.6666666666666666,0.8333333333333333
rosetta_ref_mean,0.9307359307359306,0.06666666666666667,0.5333333333333333,0.8571428571428571,0.16666666666666666,0.5833333333333333
binding_interface_nres_A_B_mean,0.9307359307359306,0.06666666666666667,0.5333333333333333,0.6285714285714286,0.3333333333333333,0.6666666666666667
binding_interface_dG_dSASA_ratio_A_B_mean,0.9307359307359306,0.06666666666666667,0.5333333333333333,0.4,0.5,0.75
rosetta_hbond_bb_sc_mean,1.0,0.0,0.5,0.8571428571428571,-0.16666666666666666,0.5833333333333334
