feature,VIF
ranking_score,inf
binding_interface_delta_sasa_A_B_mean,inf
rosetta_pro_close_mean,inf
rosetta_rama_prepro_mean,inf
rosetta_ref_mean,inf
rosetta_time_mean,inf
rosetta_yhh_planarity_mean,inf
binding_interface_score_A_B_mean,inf
binding_interface_dG_A_B_mean,inf
binding_interface_packstat_A_B_mean,inf
summary_fraction_disordered,inf
binding_interface_delta_hbond_unsat_A_B_mean,inf
binding_interface_nres_A_B_mean,inf
binding_interface_hbonds_A_B_mean,inf
binding_interface_sc_A_B_mean,inf
binding_interface_dG_dSASA_ratio_A_B_mean,inf
binding_interface_total_hbond_E_A_B_mean,inf
summary_chain_pair_pae_cross_chain_mean,inf
rosetta_p_aa_pp_mean,inf
rosetta_omega_mean,inf
rosetta_lk_ball_wtd_mean,inf
rosetta_hbond_sr_bb_mean,inf
summary_iptm,inf
summary_ptm,inf
summary_ranking_score,inf
rosetta_total_score_mean,inf
rosetta_score_mean,inf
rosetta_fa_atr_mean,inf
rosetta_fa_dun_mean,inf
rosetta_fa_elec_mean,inf
rosetta_fa_intra_rep_mean,inf
rosetta_fa_intra_sol_xover4_mean,inf
rosetta_fa_rep_mean,inf
rosetta_fa_sol_mean,inf
rosetta_hbond_bb_sc_mean,inf
rosetta_hbond_lr_bb_mean,inf
rosetta_hbond_sc_mean,inf
summary_chain_pair_pae_cross_chain_min,inf
