metric_1,metric_2,pearson_r,abs_r
rosetta_total_score_mean,rosetta_score_mean,1.0,1.0
binding_interface_score_A_B_mean,binding_interface_dG_A_B_mean,1.0,1.0
ranking_score,summary_ranking_score,0.9995,0.9995
ranking_score,summary_iptm,0.9972,0.9972
summary_iptm,summary_ranking_score,0.9968,0.9968
summary_chain_pair_pae_cross_chain_mean,summary_chain_pair_pae_cross_chain_min,0.9967,0.9967
binding_interface_delta_sasa_A_B_mean,binding_interface_nres_A_B_mean,0.9962,0.9962
binding_interface_dG_A_B_mean,binding_interface_delta_sasa_A_B_mean,-0.9943,0.9943
binding_interface_score_A_B_mean,binding_interface_delta_sasa_A_B_mean,-0.9943,0.9943
binding_interface_packstat_A_B_mean,binding_interface_sc_A_B_mean,0.9943,0.9943
binding_interface_sc_A_B_mean,binding_interface_dG_dSASA_ratio_A_B_mean,-0.9921,0.9921
binding_interface_hbonds_A_B_mean,binding_interface_total_hbond_E_A_B_mean,-0.9906,0.9906
binding_interface_packstat_A_B_mean,binding_interface_dG_dSASA_ratio_A_B_mean,-0.9903,0.9903
binding_interface_score_A_B_mean,binding_interface_nres_A_B_mean,-0.9899,0.9899
binding_interface_dG_A_B_mean,binding_interface_nres_A_B_mean,-0.9899,0.9899
summary_iptm,summary_chain_pair_pae_cross_chain_mean,-0.9699,0.9699
binding_interface_nres_A_B_mean,binding_interface_dG_dSASA_ratio_A_B_mean,-0.9666,0.9666
binding_interface_delta_sasa_A_B_mean,binding_interface_dG_dSASA_ratio_A_B_mean,-0.9628,0.9628
summary_iptm,summary_chain_pair_pae_cross_chain_min,-0.9627,0.9627
summary_ranking_score,summary_chain_pair_pae_cross_chain_mean,-0.9607,0.9607
ranking_score,summary_chain_pair_pae_cross_chain_mean,-0.9599,0.9599
binding_interface_dG_A_B_mean,binding_interface_dG_dSASA_ratio_A_B_mean,0.9597,0.9597
binding_interface_score_A_B_mean,binding_interface_dG_dSASA_ratio_A_B_mean,0.9597,0.9597
binding_interface_packstat_A_B_mean,binding_interface_nres_A_B_mean,0.9583,0.9583
binding_interface_delta_sasa_A_B_mean,binding_interface_packstat_A_B_mean,0.9526,0.9526
binding_interface_delta_sasa_A_B_mean,binding_interface_hbonds_A_B_mean,0.9519,0.9519
binding_interface_dG_A_B_mean,binding_interface_hbonds_A_B_mean,-0.9517,0.9517
binding_interface_score_A_B_mean,binding_interface_hbonds_A_B_mean,-0.9517,0.9517
summary_ranking_score,summary_chain_pair_pae_cross_chain_min,-0.9506,0.9506
ranking_score,summary_chain_pair_pae_cross_chain_min,-0.9495,0.9495
binding_interface_nres_A_B_mean,binding_interface_sc_A_B_mean,0.9481,0.9481
binding_interface_nres_A_B_mean,binding_interface_hbonds_A_B_mean,0.9445,0.9445
binding_interface_delta_sasa_A_B_mean,binding_interface_sc_A_B_mean,0.943,0.943
binding_interface_dG_A_B_mean,binding_interface_total_hbond_E_A_B_mean,0.9413,0.9413
binding_interface_score_A_B_mean,binding_interface_total_hbond_E_A_B_mean,0.9413,0.9413
binding_interface_delta_sasa_A_B_mean,binding_interface_total_hbond_E_A_B_mean,-0.9388,0.9388
binding_interface_dG_A_B_mean,binding_interface_packstat_A_B_mean,-0.937,0.937
binding_interface_score_A_B_mean,binding_interface_packstat_A_B_mean,-0.937,0.937
binding_interface_score_A_B_mean,binding_interface_sc_A_B_mean,-0.9328,0.9328
binding_interface_dG_A_B_mean,binding_interface_sc_A_B_mean,-0.9328,0.9328
binding_interface_nres_A_B_mean,binding_interface_total_hbond_E_A_B_mean,-0.9294,0.9294
rosetta_fa_dun_mean,rosetta_fa_sol_mean,0.9279,0.9279
rosetta_fa_atr_mean,rosetta_fa_sol_mean,-0.9224,0.9224
rosetta_score_mean,rosetta_fa_elec_mean,0.9183,0.9183
rosetta_total_score_mean,rosetta_fa_elec_mean,0.9183,0.9183
rosetta_fa_elec_mean,rosetta_fa_sol_mean,-0.918,0.918
rosetta_fa_atr_mean,rosetta_fa_elec_mean,0.9033,0.9033
rosetta_fa_sol_mean,rosetta_hbond_sr_bb_mean,-0.9002,0.9002
binding_interface_hbonds_A_B_mean,binding_interface_dG_dSASA_ratio_A_B_mean,-0.8896,0.8896
rosetta_fa_dun_mean,rosetta_fa_intra_sol_xover4_mean,0.8829,0.8829
binding_interface_packstat_A_B_mean,binding_interface_hbonds_A_B_mean,0.8776,0.8776
binding_interface_dG_A_B_mean,binding_interface_delta_hbond_unsat_A_B_mean,-0.8761,0.8761
binding_interface_score_A_B_mean,binding_interface_delta_hbond_unsat_A_B_mean,-0.8761,0.8761
binding_interface_delta_sasa_A_B_mean,binding_interface_delta_hbond_unsat_A_B_mean,0.871,0.871
binding_interface_dG_dSASA_ratio_A_B_mean,binding_interface_total_hbond_E_A_B_mean,0.8702,0.8702
binding_interface_hbonds_A_B_mean,binding_interface_sc_A_B_mean,0.8646,0.8646
binding_interface_delta_hbond_unsat_A_B_mean,binding_interface_nres_A_B_mean,0.8593,0.8593
rosetta_score_mean,rosetta_fa_atr_mean,0.8585,0.8585
rosetta_total_score_mean,rosetta_fa_atr_mean,0.8585,0.8585
binding_interface_packstat_A_B_mean,binding_interface_total_hbond_E_A_B_mean,-0.8549,0.8549
