metric,p,delta,ci_lo,ci_hi,auc,p_fdr
rosetta_pro_close_mean,0.03454696665714521,-0.296448087431694,-0.5546448087431693,-0.028620218579235347,0.6482240437158471,0.5458267381045339
rosetta_p_aa_pp_mean,0.03987391675279464,-0.28825136612021857,-0.5191256830601093,-0.040983606557377046,0.6441256830601093,0.5458267381045339
summary_iptm,0.07147824225396535,0.2520491803278688,-0.012978142076502733,0.4931693989071038,0.6260245901639344,0.5458267381045339
summary_ranking_score,0.07765906024501976,0.2465846994535519,-0.010997267759562838,0.4939036885245899,0.6232923497267759,0.5458267381045339
summary_chain_pair_pae_cross_chain_min,0.08570714598083269,-0.24112021857923496,-0.4713114754098361,0.006249999999999441,0.6205601092896175,0.5458267381045339
ranking_score,0.09216827693780225,0.23633879781420766,-0.016461748633879777,0.48360655737704916,0.6181693989071039,0.5458267381045339
rosetta_yhh_planarity_mean,0.09796890171107019,-0.23224043715846995,-0.4918715846994535,0.03282103825136594,0.6161202185792349,0.5458267381045339
summary_chain_pair_pae_cross_chain_mean,0.12774398961767935,-0.21379781420765026,-0.4426571038251366,0.01914275956284144,0.6068989071038251,0.6227519493861868
summary_ptm,0.18613402759894238,0.18101092896174864,-0.090198087431694,0.4269467213114752,0.5905054644808743,0.781838668305241
rosetta_lk_ball_wtd_mean,0.23555495419730732,0.16666666666666666,-0.12711748633879782,0.43729508196721234,0.5833333333333334,0.781838668305241
binding_interface_packstat_A_B_mean,0.2850616026385131,-0.15027322404371585,-0.4412568306010929,0.14354508196721255,0.575136612021858,0.781838668305241
binding_interface_sc_A_B_mean,0.30763157894115256,-0.14344262295081966,-0.41943306010928966,0.1448087431693989,0.5717213114754098,0.781838668305241
rosetta_hbond_sc_mean,0.30763157894115256,0.14344262295081966,-0.12844945355191256,0.41540300546448033,0.5717213114754098,0.781838668305241
binding_interface_delta_hbond_unsat_A_B_mean,0.3337775685673009,-0.1359289617486339,-0.41939890710382516,0.14685792349726776,0.567964480874317,0.781838668305241
binding_interface_dG_dSASA_ratio_A_B_mean,0.36649848176944966,0.12704918032786885,-0.180396174863388,0.40167349726775936,0.5635245901639344,0.781838668305241
rosetta_hbond_sr_bb_mean,0.40940004143964204,0.11612021857923498,-0.1871584699453552,0.4166666666666667,0.5580601092896175,0.781838668305241
rosetta_fa_elec_mean,0.4205747889744049,0.1133879781420765,-0.17349726775956284,0.3921106557377047,0.5566939890710383,0.781838668305241
rosetta_rama_prepro_mean,0.4319266570244369,-0.11065573770491803,-0.38528005464480874,0.19262295081967212,0.555327868852459,0.781838668305241
rosetta_hbond_lr_bb_mean,0.4319266570244369,-0.11065573770491803,-0.37158469945355194,0.16120218579234974,0.555327868852459,0.781838668305241
binding_interface_delta_sasa_A_B_mean,0.4492830426003658,-0.10655737704918032,-0.39347677595628416,0.17076502732240437,0.5532786885245902,0.781838668305241
binding_interface_nres_A_B_mean,0.46106822551337023,-0.10382513661202186,-0.39347677595628416,0.19262295081967212,0.5519125683060109,0.781838668305241
rosetta_dslf_fa13_mean,0.4610704153417685,0.10382513661202186,-0.1844603825136612,0.3770833333333331,0.551912568306011,0.781838668305241
binding_interface_hbonds_A_B_mean,0.4820974716473879,-0.09904371584699453,-0.378483606557377,0.1987704918032787,0.5495218579234973,0.781838668305241
binding_interface_total_hbond_E_A_B_mean,0.5099062752940144,0.09289617486338798,-0.20355191256830601,0.36888661202185774,0.5464480874316939,0.781838668305241
rosetta_fa_sol_mean,0.5161955929780199,-0.09153005464480875,-0.3989412568306011,0.19135928961748577,0.5457650273224044,0.781838668305241
rosetta_hbond_bb_sc_mean,0.5353020590330071,-0.08743169398907104,-0.3483606557377049,0.1762295081967213,0.5437158469945355,0.781838668305241
binding_interface_dG_A_B_mean,0.5613200695524807,0.08196721311475409,-0.20901639344262296,0.3879781420765027,0.540983606557377,0.781838668305241
binding_interface_score_A_B_mean,0.5613200695524807,0.08196721311475409,-0.22134562841530053,0.38934426229508196,0.540983606557377,0.781838668305241
summary_fraction_disordered,0.617827258107408,0.06898907103825136,-0.19880464480874316,0.3142247267759562,0.5344945355191257,0.7846896704832498
rosetta_time_mean,0.6289149230713,0.06830601092896176,-0.2158811475409836,0.3565915300546446,0.5341530054644807,0.7846896704832498
rosetta_fa_intra_rep_mean,0.6358622445218671,0.06693989071038252,-0.2076844262295082,0.3510928961748634,0.5334699453551912,0.7846896704832498
rosetta_ref_mean,0.6498529339752546,0.06420765027322405,-0.23087431693989072,0.34702868852458996,0.5321038251366119,0.7846896704832498
rosetta_omega_mean,0.663968182716596,-0.06147540983606557,-0.34156420765027323,0.23637295081967197,0.5307377049180327,0.7846896704832498
rosetta_fa_atr_mean,0.8185394360371216,0.03278688524590164,-0.2350068306010929,0.3197404371584696,0.5163934426229508,0.8868540946789826
rosetta_total_score_mean,0.8337468990286239,-0.030054644808743168,-0.3251366120218579,0.2540983606557377,0.5150273224043717,0.8868540946789826
rosetta_score_mean,0.8337468990286239,-0.030054644808743168,-0.314275956284153,0.2500341530054643,0.5150273224043717,0.8868540946789826
rosetta_fa_rep_mean,0.8413743975159578,-0.028688524590163935,-0.30194672131147543,0.2609289617486339,0.5143442622950819,0.8868540946789826
rosetta_fa_intra_sol_xover4_mean,0.9805281231907162,0.004098360655737705,-0.29101775956284154,0.2978142076502732,0.5020491803278688,1.0
rosetta_fa_dun_mean,1.0,0.0,-0.28008879781420765,0.2923497267759563,0.5,1.0
