metric,vif
ranking_score,300.0
rosetta_hbond_sr_bb_mean,300.0
rosetta_omega_mean,300.0
rosetta_p_aa_pp_mean,300.0
rosetta_pro_close_mean,300.0
rosetta_rama_prepro_mean,300.0
rosetta_ref_mean,300.0
rosetta_time_mean,300.0
rosetta_yhh_planarity_mean,300.0
binding_interface_score_A_B_mean,300.0
binding_interface_dG_A_B_mean,300.0
binding_interface_delta_sasa_A_B_mean,300.0
binding_interface_packstat_A_B_mean,300.0
binding_interface_nres_A_B_mean,300.0
binding_interface_sc_A_B_mean,300.0
binding_interface_dG_dSASA_ratio_A_B_mean,300.0
summary_chain_pair_pae_cross_chain_mean,300.0
summary_fraction_disordered,300.0
rosetta_lk_ball_wtd_mean,300.0
rosetta_hbond_sc_mean,300.0
rosetta_fa_atr_mean,300.0
summary_iptm,300.0
summary_ptm,300.0
summary_ranking_score,300.0
rosetta_total_score_mean,300.0
rosetta_score_mean,300.0
rosetta_hbond_lr_bb_mean,300.0
rosetta_dslf_fa13_mean,300.0
rosetta_fa_dun_mean,300.0
rosetta_fa_elec_mean,300.0
rosetta_fa_intra_rep_mean,300.0
rosetta_fa_intra_sol_xover4_mean,300.0
rosetta_fa_rep_mean,300.0
rosetta_fa_sol_mean,300.0
rosetta_hbond_bb_sc_mean,300.0
summary_chain_pair_pae_cross_chain_min,300.0
binding_interface_hbonds_A_B_mean,285.4445087641011
binding_interface_total_hbond_E_A_B_mean,253.5214136936622
binding_interface_delta_hbond_unsat_A_B_mean,22.613900887461114
